"C1T1_r1","C1T1_r10","C1T1_r2","C1T1_r3","C1T1_r4","C1T1_r5","C1T1_r6","C1T1_r7","C1T1_r8","C1T1_r9","C1T2_r1","C1T2_r10","C1T2_r2","C1T2_r3","C1T2_r4","C1T2_r5","C1T2_r6","C1T2_r7","C1T2_r8","C1T2_r9","C1T3_r1","C1T3_r10","C1T3_r2","C1T3_r3","C1T3_r4","C1T3_r5","C1T3_r6","C1T3_r7","C1T3_r8","C1T3_r9","C1T4_r1","C1T4_r10","C1T4_r2","C1T4_r3","C1T4_r4","C1T4_r5","C1T4_r6","C1T4_r7","C1T4_r8","C1T4_r9","C1T5_r1","C1T5_r10","C1T5_r2","C1T5_r3","C1T5_r4","C1T5_r5","C1T5_r6","C1T5_r7","C1T5_r8","C1T5_r9","C1T6_r1","C1T6_r10","C1T6_r2","C1T6_r3","C1T6_r4","C1T6_r5","C1T6_r6","C1T6_r7","C1T6_r8","C1T6_r9","C2T1_r1","C2T1_r10","C2T1_r2","C2T1_r3","C2T1_r4","C2T1_r5","C2T1_r6","C2T1_r7","C2T1_r8","C2T1_r9","C2T2_r1","C2T2_r10","C2T2_r2","C2T2_r3","C2T2_r4","C2T2_r5","C2T2_r6","C2T2_r7","C2T2_r8","C2T2_r9","C2T3_r1","C2T3_r10","C2T3_r2","C2T3_r3","C2T3_r4","C2T3_r5","C2T3_r6","C2T3_r7","C2T3_r8","C2T3_r9","C2T4_r1","C2T4_r10","C2T4_r2","C2T4_r3","C2T4_r4","C2T4_r5","C2T4_r6","C2T4_r7","C2T4_r8","C2T4_r9","C2T5_r1","C2T5_r10","C2T5_r2","C2T5_r3","C2T5_r4","C2T5_r5","C2T5_r6","C2T5_r7","C2T5_r8","C2T5_r9","C2T6_r1","C2T6_r10","C2T6_r2","C2T6_r3","C2T6_r4","C2T6_r5","C2T6_r6","C2T6_r7","C2T6_r8","C2T6_r9"
42,21,49,0,49,0,0,0,98,0,72,96,0,0,0,0,132,102,102,0,160,236,0,80,0,48,168,0,0,184,117,204,102,195,150,0,255,0,171,312,0,388,458,434,0,0,708,138,348,236,394,77,230,458,166,152,222,118,531,224,0,10,8,0,11,0,8,0,8,0,0,0,0,0,14,0,8,4,0,0,0,11,0,0,7,0,0,8,0,0,0,0,0,4,9,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0
0,0,0,0,0,0,0,119,0,0,0,126,0,96,120,0,132,102,96,108,264,128,0,140,0,0,164,0,0,108,528,342,0,132,0,144,105,144,108,0,842,606,124,110,298,380,280,248,508,0,702,1322,382,186,73,313,34,295,164,138,0,0,0,0,0,9,8,13,0,0,0,8,0,0,0,8,10,15,0,0,0,0,0,0,11,0,9,7,0,0,0,0,10,0,10,0,9,5,9,0,0,0,0,0,7,0,0,0,16,10,0,9,4,8,0,0,0,0,14,0
0,56,0,0,0,42,0,0,0,119,0,90,120,0,132,150,0,0,0,150,0,148,216,0,120,172,80,0,0,132,0,141,318,102,0,216,177,0,0,261,138,248,298,660,120,246,348,280,80,112,44,613,340,731,21,620,234,666,69,80,0,14,7,7,0,3,9,0,11,0,0,12,8,13,0,0,0,9,14,0,0,0,10,12,0,12,17,4,13,0,0,0,8,0,10,0,15,0,14,0,0,0,4,0,14,0,0,0,11,0,0,0,9,10,0,0,9,0,0,0
0,70,70,0,77,63,0,0,98,56,0,72,120,96,162,144,84,0,156,186,0,0,180,128,208,68,120,72,172,168,237,165,246,240,234,177,216,183,285,312,244,248,456,236,276,248,520,298,240,440,248,482,95,414,297,307,439,177,248,488,8,0,0,0,0,0,12,12,0,6,9,0,0,11,0,0,0,13,0,10,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,16,0,11,0,0,0,0,0,0,0,14,0,11,0,11,0,0,0,0,0,10,0,10,0,10
0,0,56,0,0,0,28,119,56,0,0,0,120,0,90,132,0,120,0,0,176,128,136,0,184,152,0,168,0,0,0,0,0,192,273,231,144,246,0,0,250,140,62,224,292,22,272,502,82,0,71,165,143,417,99,223,21,110,33,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,10,0,0,0,0,9,11,0,0,0,12,0,0,0,0,0,10,0,0,0,10,0,0,14,12,0,8,0,0,0,12,0,0,11
0,0,0,0,0,0,0,63,77,0,0,0,0,0,0,0,72,210,0,0,0,176,120,84,84,0,0,252,88,0,255,195,111,255,0,0,0,441,267,0,188,306,216,416,238,190,120,248,98,206,201,321,331,317,353,349,50,18,58,57,0,10,16,0,0,4,0,6,0,0,0,14,9,11,0,0,0,0,11,6,14,0,7,12,0,0,0,0,11,0,11,10,0,10,0,0,0,0,10,0,0,13,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,2,10
0,84,0,63,0,0,0,0,49,0,0,102,0,0,0,0,0,114,114,0,0,112,148,0,164,0,0,108,108,0,198,147,150,0,0,168,102,237,399,0,534,186,0,102,54,172,112,552,686,314,751,57,193,339,235,150,177,527,606,807,0,6,10,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,11,0,0,0,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0
0,0,0,35,0,0,0,70,56,0,0,120,0,0,120,78,0,204,102,204,0,112,0,132,0,132,128,168,112,204,0,270,0,258,0,177,348,348,96,363,104,762,94,332,120,128,628,514,58,792,39,754,56,507,135,88,465,240,37,1085,0,0,10,0,0,0,0,0,6,0,0,7,0,0,0,0,9,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,11,0,11,0,0,0,5,8,10,0,15,0,13,0,0,7,0,0,0,0,5
0,0,63,0,28,0,0,0,63,49,0,0,132,0,0,0,0,84,156,102,0,0,228,0,192,152,0,184,136,176,141,0,249,0,360,150,219,414,276,372,418,214,214,346,376,242,282,536,450,642,272,151,161,399,793,1319,66,181,18,900,0,0,0,0,0,11,9,0,0,0,0,0,0,10,0,15,0,0,0,8,0,0,0,0,0,13,0,0,0,13,5,0,2,14,7,11,0,0,0,9,9,0,0,12,0,10,0,0,0,0,0,8,6,14,6,16,0,0,0,0
0,63,0,0,0,0,0,0,0,0,0,132,0,126,96,0,0,0,0,78,96,120,0,0,160,0,0,0,0,108,240,459,282,75,339,0,0,0,0,396,336,392,192,240,278,0,186,82,106,176,140,248,241,539,349,116,1022,271,46,668,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,10,9,0,0,0,0,3,0,7,0,6,5,7,0,0,0,0,0,7,10,13,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,17,0,0,0
77,0,0,0,70,0,0,0,0,112,0,54,0,0,102,114,120,84,144,156,140,200,0,136,0,0,0,148,228,204,180,231,0,222,186,135,0,186,276,135,350,0,84,184,406,144,182,674,354,88,647,100,55,212,177,156,105,607,457,45,0,0,11,0,6,0,0,0,0,0,11,0,0,0,15,0,0,0,10,0,0,0,0,10,12,0,0,0,8,0,12,8,0,10,13,9,0,0,3,0,11,0,0,10,11,8,0,16,0,0,15,0,7,14,8,0,9,14,0,0
0,63,0,0,0,0,84,0,42,0,96,114,132,0,138,0,168,0,0,0,152,188,216,0,232,0,196,136,184,0,291,288,420,0,201,0,366,255,303,0,590,448,802,244,474,362,204,146,546,90,614,452,179,58,248,215,315,125,274,139,0,19,0,0,0,0,5,15,0,0,0,13,8,0,0,0,0,15,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,9,0,0,6
0,0,0,70,63,28,0,98,0,49,0,102,0,114,0,108,0,168,0,174,0,180,0,160,116,236,0,96,176,116,0,123,0,360,219,366,144,168,219,138,196,388,0,382,398,332,590,574,212,200,276,309,31,329,536,1100,174,368,156,262,0,0,0,0,10,0,12,7,0,9,8,0,0,0,0,7,11,12,0,8,0,0,0,0,8,15,9,10,0,10,11,0,0,0,0,13,0,0,0,17,0,0,0,0,0,10,7,0,0,13,10,0,10,0,0,8,0,6,0,11
42,91,0,0,84,0,0,0,0,84,156,0,0,0,156,0,0,0,0,120,248,196,168,168,108,104,0,0,0,0,189,279,120,162,162,321,114,0,258,183,248,248,210,176,320,550,106,200,184,150,65,358,676,204,142,481,140,143,180,279,0,0,0,16,0,12,0,0,0,0,0,0,0,11,0,3,0,0,11,0,0,10,0,11,0,13,0,0,0,0,0,14,0,10,0,6,7,0,0,0,0,10,0,6,0,0,0,0,0,10,0,10,0,9,0,0,0,0,0,9
0,0,0,0,0,0,84,0,77,77,138,0,66,96,54,0,198,0,228,210,248,0,156,148,180,136,104,124,240,220,489,0,243,189,354,0,0,0,192,129,468,58,322,0,718,0,156,210,508,0,501,247,404,38,537,110,505,152,670,368,8,0,0,0,0,0,10,21,0,12,0,0,0,0,0,0,0,15,0,0,0,0,7,0,0,0,0,7,5,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17,0,0,0,0,7,0,0,0,11,14,6,0,0
49,0,0,42,0,0,0,56,0,0,150,0,144,0,0,0,0,168,0,0,168,0,196,0,0,0,0,308,0,0,219,186,243,225,0,333,87,282,177,219,232,264,292,466,216,552,430,118,160,188,567,635,282,209,569,141,283,164,111,56,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,11,0,14,7,0,0,10,7,0,0,11,0,0,8,0,0,9,12,0,0,13,0,0,10,0,0,0,9,0,0,0,0,0,7,0,0,0,8,0,0,10,0,12,12
0,0,0,0,133,35,98,0,0,0,126,0,108,0,114,114,228,0,0,0,252,0,156,0,128,164,208,0,0,0,459,105,279,0,0,339,261,0,132,297,404,0,320,0,306,292,414,188,818,664,331,129,1161,101,366,146,168,87,759,323,0,0,0,0,13,0,0,0,17,0,0,0,6,0,17,9,0,0,12,0,0,0,0,0,16,10,0,6,15,6,0,0,0,0,13,8,0,0,13,0,0,0,14,6,4,9,0,9,0,0,0,0,15,7,0,0,0,0,0,0
7,63,0,0,84,0,0,0,35,0,156,156,0,0,0,78,0,54,114,0,208,248,132,160,176,104,0,0,0,0,459,246,318,240,303,219,0,0,0,0,642,664,334,380,568,394,116,398,0,162,187,218,167,468,874,331,42,375,155,135,0,0,0,0,0,0,9,0,0,14,0,0,0,0,0,0,6,0,15,11,9,0,0,0,0,0,6,0,0,6,12,0,0,0,0,0,0,0,10,0,14,9,0,0,0,0,0,0,11,0,12,11,0,0,0,0,0,0,0,7
0,21,0,0,0,49,0,0,84,84,0,96,0,0,114,168,0,0,108,114,76,180,0,0,132,132,216,0,0,164,162,0,135,288,222,0,294,384,156,54,220,0,202,192,0,400,616,384,160,128,158,117,132,209,398,328,694,217,205,133,6,15,12,6,10,0,0,0,0,0,6,14,0,0,9,0,0,0,0,0,8,9,0,0,9,0,0,0,0,0,15,0,0,0,8,0,7,0,0,11,0,0,14,0,9,10,0,0,8,12,0,0,16,0,14,0,0,6,9,14
0,0,63,0,0,70,0,0,98,56,114,0,0,0,0,138,0,0,144,132,172,140,0,0,0,192,184,0,260,0,183,255,0,165,186,108,387,288,0,129,304,404,168,296,280,0,604,664,88,230,355,162,458,323,208,28,270,1129,202,327,0,15,0,14,0,0,0,0,0,4,0,11,0,11,0,12,0,0,7,0,0,10,0,14,0,0,0,0,0,0,0,0,0,11,0,6,0,3,0,0,0,0,0,9,0,9,7,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,63,0,0,0,0,0,0,77,0,0,186,66,0,0,90,0,0,132,0,168,148,144,0,0,0,140,0,172,279,300,345,210,0,0,252,360,342,177,530,730,782,194,106,0,180,450,622,192,646,515,1110,103,302,130,346,276,1154,316,11,9,7,0,0,0,0,5,5,0,11,0,9,0,0,0,0,0,0,9,12,0,11,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,7,0
0,91,0,0,0,0,21,0,56,0,0,186,0,126,0,102,72,0,120,0,0,264,0,0,0,88,168,0,136,0,285,285,177,126,216,141,261,135,195,0,322,366,376,118,296,142,342,374,648,242,423,88,344,447,304,202,220,77,391,356,16,11,13,7,0,0,0,0,0,5,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,18,14,3,0,0,0,7,0,15,11,18,5,0,0,0,0,4,0,0
0,0,0,91,0,0,0,63,0,0,0,0,0,180,0,0,0,120,0,84,0,0,0,200,0,0,116,144,0,148,0,84,219,306,150,0,150,234,156,252,0,162,430,460,130,244,242,350,188,144,113,100,308,573,82,134,80,488,159,366,0,16,0,6,0,6,0,0,0,10,0,14,0,9,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,6,9,9,12,0,0,0,0,0,0
0,0,0,0,56,0,0,49,0,0,0,126,0,162,138,0,0,0,0,0,0,172,272,136,124,0,0,0,116,0,120,309,330,162,0,213,165,0,177,318,284,392,374,132,162,462,300,98,200,350,168,887,551,219,420,325,287,111,150,729,0,0,0,0,0,5,9,0,0,10,0,0,8,0,0,11,0,0,3,11,0,0,12,0,0,13,0,0,10,7,0,0,12,0,0,7,0,0,11,0,0,0,7,9,7,0,0,0,7,0,0,0,0,9,0,0,0,0,7,0
84,0,0,0,0,0,0,0,0,0,120,120,168,0,84,0,0,0,0,0,192,184,176,172,152,0,132,0,0,0,312,0,144,150,204,186,99,240,189,210,502,192,344,174,226,0,80,100,448,426,1275,239,443,170,143,70,207,59,260,689,6,0,14,0,0,13,0,0,0,5,0,4,5,0,13,9,0,0,0,0,0,12,12,0,8,7,0,12,0,0,0,8,13,0,8,13,0,0,0,0,0,0,16,0,5,10,0,10,0,0,0,0,16,0,6,0,0,13,0,0
63,0,0,0,0,0,0,0,0,42,0,156,0,0,108,0,0,0,0,90,84,176,0,0,192,0,164,0,216,172,225,273,0,228,192,243,0,192,390,198,244,232,0,272,164,536,56,430,344,304,170,113,7,453,249,551,428,357,440,415,10,0,11,0,10,0,7,7,0,8,12,0,9,0,4,8,16,8,0,0,0,0,7,0,9,0,0,10,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,5,0,9,0,0,0,7,11,0,8,0,0,0,0,0
0,56,0,0,0,0,0,0,35,0,0,132,0,0,0,0,0,0,126,78,0,176,80,0,108,0,0,0,128,0,189,177,0,237,141,0,0,0,0,234,100,168,316,260,0,64,304,108,252,78,37,115,97,460,103,327,574,237,239,354,0,7,5,10,0,0,8,11,0,13,0,0,0,14,0,8,5,12,0,15,0,0,8,0,0,6,0,10,0,13,0,9,0,0,0,8,0,14,0,8,0,10,0,6,0,0,0,12,0,10,0,0,15,5,0,8,0,9,0,0
0,0,91,105,0,63,0,0,98,0,0,84,0,204,0,120,0,0,78,78,0,100,0,192,0,132,0,0,216,192,0,432,0,267,0,501,111,0,456,177,0,448,0,768,36,296,406,0,310,206,224,457,17,867,315,321,1206,89,393,94,0,14,0,15,0,0,9,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,11,10,8,0,0,0,0,0,5,5,0,5,0,6,0,12,0,0,10,0,0,0,11,0,8,9,0,0,17,12,0,0,9,0,0,0,0
0,0,0,77,84,0,0,0,0,0,0,114,114,138,96,0,0,114,0,84,84,144,144,108,0,224,0,128,0,0,222,24,306,249,0,432,0,264,102,0,474,122,154,304,80,824,134,130,84,328,543,133,62,420,278,1374,345,312,80,207,0,9,0,6,12,0,12,0,23,4,0,12,0,10,0,0,0,0,16,0,12,14,0,0,0,0,0,0,10,8,0,9,0,0,0,0,0,0,15,6,12,0,0,0,0,6,0,0,6,0,14,0,10,0,5,0,0,0,10,0
0,0,0,84,0,0,0,0,0,0,0,0,96,0,0,0,96,0,0,0,176,164,236,152,0,152,168,172,172,0,207,198,102,237,117,165,168,267,285,354,446,466,0,310,360,382,192,854,266,196,388,245,43,98,615,202,429,674,193,342,0,10,12,8,0,11,0,0,10,12,0,9,7,0,0,0,0,5,0,19,0,12,0,0,0,0,0,12,0,14,0,0,8,0,0,0,0,11,10,19,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,0,0,112,0,0,0,0,114,0,138,96,36,234,0,0,0,102,0,0,128,164,0,268,156,0,100,116,0,162,0,264,252,450,285,0,309,0,102,194,260,180,728,1196,116,208,622,198,168,44,351,152,764,735,509,45,460,158,0,11,10,0,14,0,0,10,0,0,0,0,0,0,11,8,11,8,0,0,11,0,0,0,15,7,5,11,0,0,0,0,0,0,14,6,11,8,0,0,7,0,0,0,10,0,0,13,5,9,5,8,0,0,8,0,0,9,0,0
0,105,0,56,0,0,0,70,63,0,0,0,0,162,0,0,0,0,96,96,156,144,164,76,136,0,176,124,0,0,261,0,399,159,312,117,282,165,0,216,214,128,404,132,476,218,162,214,20,244,447,270,527,152,459,279,219,201,227,408,0,0,0,0,0,23,8,0,0,4,0,0,0,0,0,14,12,7,0,6,0,0,0,0,0,15,13,0,12,0,0,0,0,0,0,10,0,0,6,0,11,0,0,3,0,11,0,0,0,0,14,0,0,8,0,0,0,0,0,7
56,0,77,0,0,63,70,0,0,63,0,108,180,0,0,114,96,0,114,78,92,300,168,0,0,236,0,0,212,0,348,447,84,0,138,354,108,150,162,0,646,228,0,172,316,480,108,134,158,0,647,162,70,180,219,926,371,280,86,45,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,10,0,8,9,9,0,16,0,0,0,0,0,9,13,12,0,12,2,0,0,0,0,0,0,10,0,0,9,0,0,0,0
0,0,63,0,0,56,0,0,0,28,0,0,0,108,0,108,156,0,0,108,160,0,0,0,0,176,232,0,0,0,87,0,105,159,177,414,525,0,225,141,128,0,426,258,348,522,468,336,332,0,127,4,293,581,507,644,361,658,471,120,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,10,3,0,0,0,0,12,0,0,0,0,0,7,0,0,0,15,5,0,0,7,10,0,0,6,0,0,12,0,0,12,0,0,0,0,0,0,13,0,0,10,14,0
0,119,0,0,0,0,0,0,0,0,0,126,102,252,0,0,0,0,0,96,0,220,136,252,0,132,0,0,92,160,0,249,321,450,0,246,0,0,348,375,54,206,460,628,60,342,76,238,798,426,88,236,456,790,64,219,195,153,933,386,0,0,9,0,0,0,6,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,9,0,8,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,8,0,10,0,0
0,70,0,0,98,0,21,0,77,0,114,0,96,66,0,138,192,126,186,0,148,188,148,0,172,92,168,0,320,0,246,240,165,0,81,0,117,246,291,0,182,230,96,0,148,144,350,296,352,44,56,390,26,11,415,151,346,74,250,73,0,0,0,0,0,10,0,0,0,6,0,9,0,0,0,10,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,11,0,8,0,0,7,0,0,0,0,0,0,20,0,0,13,0,0,0,0,0,0,6,7,7,11,0,0,0
49,0,0,14,0,0,0,0,70,0,0,0,114,84,0,0,126,150,132,108,152,0,200,108,0,0,140,152,0,168,153,0,225,117,342,0,102,225,231,162,178,42,216,442,344,94,0,156,636,258,148,52,1111,488,246,136,120,179,423,230,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,0,0,11,5,0,0,0,0,0,0,0,0,17,8,0,10,10,0,0,0,0,12,13,0,0,20,0,0,0,0,0,15,14,0,0,4,0,0,0,0,0,7,10,0,0
0,0,0,91,70,0,0,35,63,0,102,0,0,102,156,108,0,126,108,0,224,0,0,124,108,172,0,148,208,0,495,210,105,0,132,348,0,300,276,120,632,204,206,82,172,638,218,468,334,518,631,422,291,33,376,934,308,286,115,488,0,5,0,9,0,9,0,0,0,0,0,15,0,11,0,0,0,7,0,10,8,11,0,0,0,0,0,15,0,17,0,12,10,0,0,0,0,9,0,14,0,12,9,0,0,0,0,0,0,10,0,11,0,0,0,0,7,0,0,9
98,70,42,0,63,63,0,0,0,0,114,0,0,0,0,48,0,84,0,0,152,120,128,152,140,0,0,204,0,176,282,165,201,0,195,303,0,210,0,231,212,198,452,372,0,592,298,338,162,248,1003,194,1078,253,49,169,461,223,151,117,0,10,0,0,0,0,14,0,0,0,0,11,0,0,0,0,12,0,0,0,0,4,11,0,0,0,11,0,0,0,0,0,0,0,0,11,15,9,0,0,0,10,0,0,0,4,13,4,6,0,0,8,8,0,0,0,10,0,11,7
0,0,77,0,49,0,42,0,0,0,0,0,54,84,120,0,0,0,0,0,180,0,0,192,112,152,164,132,0,0,519,0,0,0,0,225,414,99,102,138,470,82,0,262,0,264,600,0,172,272,526,476,23,182,44,210,526,152,150,63,10,12,10,9,0,9,11,11,7,7,0,16,0,9,0,0,8,13,12,12,0,10,0,7,0,0,0,8,0,0,0,0,0,5,0,0,10,0,14,0,11,0,0,0,0,0,13,0,12,0,14,0,5,8,0,0,12,0,15,8
